image_id,class_id,x_min,y_min,x_max,y_max
IMG_2225_jpg.rf.cbea3a2347acba1ece9e5a1c776f3597.jpg,0,226,301,462,526
IMG_2229_jpg.rf.a0ba4673f15627e86bba7e112656b704.jpg,0,163,176,373,430
20251028_170251_jpg.rf.90f15224de8d979e8c18786afc4aa96f.jpg,0,113,228,222,290
20251027_170549_jpg.rf.a2162d559c5e6f1c080d67ae647c45b1.jpg,0,39,144,188,285
20251027_170549_jpg.rf.a2162d559c5e6f1c080d67ae647c45b1.jpg,0,61,40,166,118
IMG_20251024_161633_jpg.rf.2685a0f5a94d8f72e95628757c393a32.jpg,0,41,121,227,394
20251029_124921_jpg.rf.3d2662539a6f9a749712fb691c1189cd.jpg,0,145,161,266,235
20251027_170130_jpg.rf.03ce2ef75a7dea05c1bec1648b867ad6.jpg,0,233,117,396,260
20251027_170130_jpg.rf.03ce2ef75a7dea05c1bec1648b867ad6.jpg,0,27,64,137,140
20251029_124904_jpg.rf.1ec85c70887888c1e9b33089153308b8.jpg,0,47,95,265,242
20251022_152957_jpg.rf.f5281aae3c3c362de561f81192dafe9d.jpg,0,115,0,406,316
20251028_161230_jpg.rf.542b54576cba34a75d3c535db0b029a7.jpg,0,72,189,419,429
IMG_2309_jpg.rf.f6758ff1197bb227618a6541a5c6284e.jpg,0,172,281,367,468
20251022_151928_jpg.rf.9a905b1ee643b079d962ac9e5e91fd69.jpg,0,201,92,332,240
IMG_20251027_172312_jpg.rf.440bdd61338f23398790f821656b58b5.jpg,0,88,179,198,261
IMG_5895_JPG.rf.dc8e8a8c78e3412a7acccd067ce76c47.jpg,0,26,150,404,352
IMG_5895_JPG.rf.dc8e8a8c78e3412a7acccd067ce76c47.jpg,0,401,141,479,241
IMG_5856_JPG.rf.3706509c2d3ad2fdae12c8bfbe25b704.jpg,0,149,156,397,331
IMG_2705_jpg.rf.fa8d5b9487977766195c28b6701e5ec2.jpg,0,185,250,297,413
IMG_2210_jpg.rf.22a30677916ad01c49055662f2693718.jpg,0,203,187,445,474
IMG_0886_jpg.rf.a244caf464394a80b8c469171b7c6a67.jpg,0,173,176,464,383
